iter	Passed	Remaining
0	0	51
1	0	45
2	1	57
3	2	57
4	3	67
5	4	71
6	5	73
7	6	73
8	7	74
9	7	71
10	8	69
11	9	68
12	10	71
13	11	73
14	12	72
15	14	75
16	14	72
17	15	72
18	17	72
19	17	71
20	18	70
21	19	69
22	20	67
23	21	67
24	22	66
25	22	65
26	23	63
27	24	62
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	29	52
36	30	51
37	31	50
38	31	49
39	32	49
40	33	48
41	33	46
42	34	45
43	35	44
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	38
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	46	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	73	0
